SALESORDERHEADERKEY,SALESORDERID,ORDERDATE,DUEDATE,SHIPDATE,STATUSODER,ISONLINE,PURCHASEORDERNUMBER,SALESORDERNUMBER,CUSACCOUNT,SALESPERSONID,CUSTOMERKEY,SALESPERSONKEY,SALESPEREXPLAIN,TERRITORYKEY,CURRENCYRATEKEY,CURRENCYEXPLAIN,CREDITCARDKEY,CREDITCARDEXPLAIN,SHIPMETHODKEY,DATEKEYORDER,DATEKEYDUE,DATEKEYSHIP,CREDITCARDAPPROVALCODE,SUBTOTAL,TAX,SHIPPINGFEE,TOTALAMOUNT,CUMULATIVEAMOUNT,ORDERCOUNT,RECENCY,FREQUENCY,MONETARY,PAYMETHOD,FRAUDSTATUS,SALESHEADERMODIFIEDDATE,ISCURRENT
15776,56108,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56108,10-4030-027882,,22756,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,6968,Have CreditCard,1,20130912,20130924,20130919,737937Vi33404,791.32,63.31,19.78,874.41,82530373.75,27659,4353,1,874.41,CreditCard,Normal,2013-09-19,True
15777,56107,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56107,10-4030-027859,,22733,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,15858,Have CreditCard,1,20130912,20130924,20130919,437933Vi64604,777.34,62.19,19.43,858.96,82531232.71,27659,4353,1,858.96,CreditCard,Normal,2013-09-19,True
15778,56106,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56106,10-4030-012918,,3152,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,17278,Have CreditCard,1,20130912,20130924,20130919,1137510Vi72160,2319.99,185.6,58.0,2563.59,82533796.3,27659,4353,2,5263.49,CreditCard,Normal,2013-09-19,True
15779,56105,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56105,10-4030-014098,,4332,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,6080,Have CreditCard,1,20130912,20130924,20130919,536784Vi29058,845.46,67.64,21.14,934.23,82534730.53,27659,4353,2,2039.71,CreditCard,Normal,2013-09-19,True
15780,56104,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56104,10-4030-013992,,4226,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,13350,Have CreditCard,1,20130912,20130924,20130919,736775Vi51377,801.77,64.14,20.04,885.96,82535616.49,27659,4353,2,1991.44,CreditCard,Normal,2013-09-19,True
15781,56103,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56103,10-4030-020345,,13411,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,3857,Have CreditCard,1,20130912,20130924,20130919,535912Vi17488,2520.83,201.67,63.02,2785.52,82538402.01,27659,4353,1,2785.52,CreditCard,Normal,2013-09-19,True
15782,56102,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56102,10-4030-016972,,7206,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,6207,Have CreditCard,1,20130912,20130924,20130919,635820Vi29719,1754.98,140.4,43.87,1939.25,82540341.26,27659,4353,1,1939.25,CreditCard,Normal,2013-09-19,True
15783,56101,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56101,10-4030-016970,,7204,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,18798,Have CreditCard,1,20130912,20130924,20130919,335819Vi79708,1754.98,140.4,43.87,1939.25,82542280.51,27659,4353,1,1939.25,CreditCard,Normal,2013-09-19,True
15784,56100,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56100,10-4030-011687,,1921,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,7926,Have CreditCard,1,20130912,20130924,20130919,929487Vi38336,35.0,2.8,0.88,38.68,82542319.19,27659,4283,2,108.27,CreditCard,Normal,2013-09-19,True
15785,56099,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56099,10-4030-011784,,2018,-1,Have No SalesPerson,6,9617,Have CurrencyRate,11384,Have CreditCard,1,20130912,20130924,20130919,329460Vi41526,74.98,6.0,1.87,82.85,82542402.04,27659,4104,5,301.33,CreditCard,Normal,2013-09-19,True
15786,56098,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56098,10-4030-027336,,22210,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,-1,Have No CreditCard,1,20130912,20130924,20130919,Unknown,36.27,2.9,0.91,40.08,82542442.12,27659,4353,1,40.08,Other,Normal,2013-09-19,True
15787,56097,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56097,10-4030-024693,,17759,-1,Have No SalesPerson,7,-1,Have No CurrencyRate,1662,Have CreditCard,1,20130912,20130924,20130919,828774Vi5714,7.28,0.58,0.18,8.04,82542450.16,27659,4353,1,8.04,CreditCard,Normal,2013-09-19,True
15788,56111,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56111,10-4030-019594,,12660,-1,Have No SalesPerson,9,9615,Have CurrencyRate,7404,Have CreditCard,1,20130912,20130924,20130919,339373Vi35829,2443.35,195.47,61.08,2699.9,82545150.06,27659,4353,2,6653.89,CreditCard,Normal,2013-09-19,True
15789,56112,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56112,10-4030-019595,,12661,-1,Have No SalesPerson,9,9615,Have CurrencyRate,6659,Have CreditCard,1,20130912,20130924,20130919,539374Vi31843,2516.81,201.34,62.92,2781.08,82547931.14,27659,4353,2,6735.07,CreditCard,Normal,2013-09-19,True
15790,56113,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56113,10-4030-012348,,2582,-1,Have No SalesPerson,9,9615,Have CurrencyRate,101,Have CreditCard,1,20130912,20130924,20130919,139674Vi553,2423.95,193.92,60.6,2678.46,82550609.6,27659,4200,3,7631.22,CreditCard,Normal,2013-09-19,True
15791,56114,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56114,10-4030-012670,,2904,-1,Have No SalesPerson,9,9615,Have CurrencyRate,24107,Have CreditCard,1,20130912,20130924,20130919,939688Vi98915,2351.96,188.16,58.8,2598.92,82553208.52,27659,4200,3,7497.57,CreditCard,Normal,2013-09-19,True
15792,56115,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56115,10-4030-024392,,17458,-1,Have No SalesPerson,6,9617,Have CurrencyRate,17654,Have CreditCard,1,20130912,20130924,20130919,239927Vi74076,751.34,60.11,18.78,830.23,82554038.75,27659,4353,2,4784.22,CreditCard,Normal,2013-09-19,True
15793,56116,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56116,10-4030-028847,,23721,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,2710,Have CreditCard,1,20130912,20130924,20130919,539932Vi11360,777.34,62.19,19.43,858.96,82554897.71,27659,4353,2,4812.95,CreditCard,Normal,2013-09-19,True
15794,56117,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56117,10-4030-025381,,18447,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,7937,Have CreditCard,1,20130912,20130924,20130919,640125Vi38395,1228.83,98.31,30.72,1357.86,82556255.57,27659,4353,1,1357.86,CreditCard,Normal,2013-09-19,True
15795,56118,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56118,10-4030-024807,,17873,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,16865,Have CreditCard,1,20130912,20130924,20130919,940588Vi69924,2469.05,197.52,61.73,2728.3,82558983.87,27659,4353,1,2728.3,CreditCard,Normal,2013-09-19,True
15796,56124,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56124,10-4030-028712,,23586,-1,Have No SalesPerson,10,9620,Have CurrencyRate,15548,Have CreditCard,1,20130912,20130924,20130919,943026Vi62989,2393.06,191.44,59.83,2644.33,82561628.2,27659,4353,1,2644.33,CreditCard,Normal,2013-09-19,True
15797,56119,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56119,10-4030-022092,,15158,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,3232,Have CreditCard,1,20130912,20130924,20130919,1241068Vi14009,563.77,45.1,14.09,622.97,82562251.17,27659,4353,1,622.97,CreditCard,Normal,2013-09-19,True
15798,56120,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56120,10-4030-025104,,18170,-1,Have No SalesPerson,6,9617,Have CurrencyRate,18597,Have CreditCard,1,20130912,20130924,20130919,841080Vi78806,574.98,46.0,14.37,635.35,82562886.52,27659,4353,2,3335.25,CreditCard,Normal,2013-09-19,True
15799,56121,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56121,10-4030-022054,,15120,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,4908,Have CreditCard,1,20130912,20130924,20130919,1241086Vi22949,563.77,45.1,14.09,622.97,82563509.49,27659,4353,1,622.97,CreditCard,Normal,2013-09-19,True
15800,56122,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56122,10-4030-018617,,11683,-1,Have No SalesPerson,6,9617,Have CurrencyRate,5064,Have CreditCard,1,20130912,20130924,20130919,141791Vi23748,1147.77,91.82,28.69,1268.29,82564777.78,27659,4353,1,1268.29,CreditCard,Normal,2013-09-19,True
15801,56123,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56123,10-4030-021089,,14155,-1,Have No SalesPerson,7,-1,Have No CurrencyRate,14710,Have CreditCard,1,20130912,20130924,20130919,1242499Vi58518,561.48,44.92,14.04,620.44,82565398.22,27659,4353,1,620.44,CreditCard,Normal,2013-09-19,True
15802,56073,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56073,10-4030-016023,,6257,-1,Have No SalesPerson,9,9615,Have CurrencyRate,18342,Have CreditCard,1,20130912,20130924,20130919,418818Vi77560,96.92,7.75,2.42,107.1,82565505.32,27659,4234,2,184.42,CreditCard,Normal,2013-09-19,True
15803,56095,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56095,10-4030-029409,,24283,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,11604,Have CreditCard,1,20130912,20130924,20130919,1028339Vi42709,36.27,2.9,0.91,40.08,82565545.4,27659,4353,1,40.08,CreditCard,Normal,2013-09-19,True
15804,56096,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56096,10-4030-020962,,14028,-1,Have No SalesPerson,7,-1,Have No CurrencyRate,2938,Have CreditCard,1,20130912,20130924,20130919,128442Vi12546,6.28,0.5,0.16,6.94,82565552.34,27659,4353,1,6.94,CreditCard,Normal,2013-09-19,True
15805,56068,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56068,10-4030-012192,,2426,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,11470,Have CreditCard,1,20130912,20130924,20130919,1216648Vi42003,120.0,9.6,3.0,132.6,82565684.94,27659,4099,2,176.79,CreditCard,Normal,2013-09-19,True
15806,56069,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56069,10-4030-018733,,11799,-1,Have No SalesPerson,9,9615,Have CurrencyRate,16790,Have CreditCard,1,20130912,20130924,20130919,217527Vi69538,21.98,1.76,0.55,24.29,82565709.23,27659,4353,2,26.82,CreditCard,Normal,2013-09-19,True
15807,56070,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56070,10-4030-022843,,15909,-1,Have No SalesPerson,9,9615,Have CurrencyRate,14361,Have CreditCard,1,20130912,20130924,20130919,818007Vi56705,48.98,3.92,1.22,54.12,82565763.35,27659,4353,1,54.12,CreditCard,Normal,2013-09-19,True
15808,56071,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56071,10-4030-014307,,4541,-1,Have No SalesPerson,9,9615,Have CurrencyRate,7322,Have CreditCard,1,20130912,20130924,20130919,1218086Vi35372,4.99,0.4,0.12,5.51,82565768.86,27659,4259,3,216.87,CreditCard,Normal,2013-09-19,True
15809,56072,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56072,10-4030-015798,,6032,-1,Have No SalesPerson,9,9615,Have CurrencyRate,4139,Have CreditCard,1,20130912,20130924,20130919,918519Vi18992,34.99,2.8,0.87,38.66,82565807.52,27659,4294,2,109.35,CreditCard,Normal,2013-09-19,True
15810,56074,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56074,10-4030-027388,,22262,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,17921,Have CreditCard,1,20130912,20130924,20130919,221244Vi75487,83.97,6.72,2.1,92.79,82565900.31,27659,4353,1,92.79,CreditCard,Normal,2013-09-19,True
15811,56075,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56075,10-4030-027914,,22788,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,22027,Have CreditCard,1,20130912,20130924,20130919,1221782Vi87488,39.98,3.2,1.0,44.18,82565944.49,27659,4353,1,44.18,CreditCard,Normal,2013-09-19,True
15812,56076,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56076,10-4030-026335,,19401,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,-1,Have No CreditCard,1,20130912,20130924,20130919,Unknown,89.46,7.16,2.24,98.85,82566043.34,27659,4353,1,98.85,Other,Normal,2013-09-19,True
15813,56077,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56077,10-4030-011641,,1875,-1,Have No SalesPerson,6,9617,Have CurrencyRate,5252,Have CreditCard,1,20130912,20130924,20130919,123028Vi24756,69.97,5.6,1.75,77.32,82566120.66,27659,4225,5,335.05,CreditCard,Normal,2013-09-19,True
15814,56078,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56078,10-4030-023797,,16863,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,7287,Have CreditCard,1,20130912,20130924,20130919,523063Vi35126,67.59,5.41,1.69,74.69,82566195.35,27659,4353,1,74.69,CreditCard,Normal,2013-09-19,True
15815,56079,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56079,10-4030-022068,,15134,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,6761,Have CreditCard,1,20130912,20130924,20130919,1123167Vi32361,23.97,1.92,0.6,26.49,82566221.84,27659,4353,1,26.49,CreditCard,Normal,2013-09-19,True
15816,56080,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56080,10-4030-023002,,16068,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,4635,Have CreditCard,1,20130912,20130924,20130919,523226Vi21531,67.2,5.38,1.68,74.26,82566296.1,27659,4353,1,74.26,CreditCard,Normal,2013-09-19,True
15817,56081,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56081,10-4030-021294,,14360,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,11635,Have CreditCard,1,20130912,20130924,20130919,423930Vi42870,9.99,0.8,0.25,11.04,82566307.14,27659,4353,1,11.04,CreditCard,Normal,2013-09-19,True
15818,56083,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56083,10-4030-019886,,12952,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,14990,Have CreditCard,1,20130912,20130924,20130919,1023994Vi60066,78.98,6.32,1.97,87.27,82566394.41,27659,4353,1,87.27,CreditCard,Normal,2013-09-19,True
15819,56082,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56082,10-4030-020789,,13855,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,8320,Have CreditCard,1,20130912,20130924,20130919,223936Vi40355,39.47,3.16,0.99,43.61,82566438.02,27659,4353,1,43.61,CreditCard,Normal,2013-09-19,True
15820,56094,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56094,10-4030-026218,,19284,-1,Have No SalesPerson,10,9620,Have CurrencyRate,18369,Have CreditCard,1,20130912,20130924,20130919,327313Vi77671,6.28,0.5,0.16,6.94,82566444.96,27659,4353,1,6.94,CreditCard,Normal,2013-09-19,True
15821,56093,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56093,10-4030-024858,,17924,-1,Have No SalesPerson,10,9620,Have CurrencyRate,13905,Have CreditCard,1,20130912,20130924,20130919,127112Vi54323,39.98,3.2,1.0,44.18,82566489.14,27659,4353,1,44.18,CreditCard,Normal,2013-09-19,True
15822,56092,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56092,10-4030-028539,,23413,-1,Have No SalesPerson,7,-1,Have No CurrencyRate,13430,Have CreditCard,1,20130912,20130924,20130919,627058Vi51841,119.98,9.6,3.0,132.58,82566621.72,27659,4353,1,132.58,CreditCard,Normal,2013-09-19,True
15823,56091,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56091,10-4030-014143,,4377,-1,Have No SalesPerson,10,9620,Have CurrencyRate,22567,Have CreditCard,1,20130912,20130924,20130919,326773Vi90623,90.58,7.25,2.26,100.09,82566721.81,27659,4073,2,147.57,CreditCard,Normal,2013-09-19,True
15824,56090,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56090,10-4030-014696,,4930,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,-1,Have No CreditCard,1,20130912,20130924,20130919,Unknown,42.28,3.38,1.06,46.72,82566768.53,27659,4353,1,46.72,Other,Normal,2013-09-19,True
15825,56089,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56089,10-4030-014399,,4633,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,2126,Have CreditCard,1,20130912,20130924,20130919,725860Vi8165,4.99,0.4,0.12,5.51,82566774.04,27659,4353,1,5.51,CreditCard,Normal,2013-09-19,True
15826,56088,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56088,10-4030-025062,,18128,-1,Have No SalesPerson,6,9617,Have CurrencyRate,5107,Have CreditCard,1,20130912,20130924,20130919,1124820Vi23972,13.98,1.12,0.35,15.45,82566789.49,27659,4353,1,15.45,CreditCard,Normal,2013-09-19,True
15827,56087,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56087,10-4030-011641,,1875,-1,Have No SalesPerson,6,9617,Have CurrencyRate,5252,Have CreditCard,1,20130912,20130924,20130919,124520Vi24756,144.47,11.56,3.61,159.64,82566949.13,27659,4225,5,335.05,CreditCard,Normal,2013-09-19,True
15828,56086,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56086,10-4030-019833,,12899,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,18691,Have CreditCard,1,20130912,20130924,20130919,224513Vi79209,69.99,5.6,1.75,77.34,82567026.47,27659,4353,1,77.34,CreditCard,Normal,2013-09-19,True
15829,56085,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56085,10-4030-020127,,13193,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,3211,Have CreditCard,1,20130912,20130924,20130919,1224328Vi13920,69.99,5.6,1.75,77.34,82567103.81,27659,4353,1,77.34,CreditCard,Normal,2013-09-19,True
15830,56084,2013-09-12,2013-09-24,2013-09-19,Shipped,True,Unknown,SO56084,10-4030-011505,,1739,-1,Have No SalesPerson,6,9617,Have CurrencyRate,13381,Have CreditCard,1,20130912,20130924,20130919,824033Vi51581,123.98,9.92,3.1,137.0,82567240.81,27659,4097,16,935.67,CreditCard,Normal,2013-09-19,True
15831,56140,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56140,10-4030-027023,,21897,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,3721,Have CreditCard,1,20130913,20130925,20130920,521403Vi16777,60.47,4.84,1.51,66.82,82567307.63,27659,4352,1,66.82,CreditCard,Normal,2013-09-20,True
15832,56141,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56141,10-4030-025259,,18325,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,18702,Have CreditCard,1,20130913,20130925,20130920,721817Vi79256,32.27,2.58,0.81,35.66,82567343.29,27659,4352,1,35.66,CreditCard,Normal,2013-09-20,True
15833,56142,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56142,10-4030-024451,,17517,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,13946,Have CreditCard,1,20130913,20130925,20130920,922180Vi54574,38.88,3.11,0.97,42.96,82567386.25,27659,4352,1,42.96,CreditCard,Normal,2013-09-20,True
15834,56143,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56143,10-4030-024830,,17896,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,17722,Have CreditCard,1,20130913,20130925,20130920,522204Vi74433,96.07,7.69,2.4,106.16,82567492.41,27659,4352,1,106.16,CreditCard,Normal,2013-09-20,True
15835,56144,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56144,10-4030-024991,,18057,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,14055,Have CreditCard,1,20130913,20130925,20130920,522225Vi55144,34.89,2.79,0.87,38.55,82567530.96,27659,4352,1,38.55,CreditCard,Normal,2013-09-20,True
15836,56145,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56145,10-4030-024813,,17879,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,14068,Have CreditCard,1,20130913,20130925,20130920,122271Vi55221,71.58,5.73,1.79,79.1,82567610.06,27659,4352,1,79.1,CreditCard,Normal,2013-09-20,True
15837,56146,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56146,10-4030-026542,,21416,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,11477,Have CreditCard,1,20130913,20130925,20130920,1022307Vi42049,27.28,2.18,0.68,30.14,82567640.2,27659,4352,1,30.14,CreditCard,Normal,2013-09-20,True
15838,56147,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56147,10-4030-011331,,1565,-1,Have No SalesPerson,6,9628,Have CurrencyRate,17526,Have CreditCard,1,20130913,20130925,20130920,722497Vi73456,27.28,2.18,0.68,30.14,82567670.34,27659,4066,27,1468.87,CreditCard,Normal,2013-09-20,True
15839,56148,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56148,10-4030-024928,,17994,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,4183,Have CreditCard,1,20130913,20130925,20130920,122690Vi19264,27.28,2.18,0.68,30.14,82567700.48,27659,4352,1,30.14,CreditCard,Normal,2013-09-20,True
15840,56149,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56149,10-4030-022122,,15188,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,15607,Have CreditCard,1,20130913,20130925,20130920,323119Vi63297,94.46,7.56,2.36,104.38,82567804.86,27659,4352,1,104.38,CreditCard,Normal,2013-09-20,True
15841,56150,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56150,10-4030-012964,,3198,-1,Have No SalesPerson,6,9628,Have CurrencyRate,18808,Have CreditCard,1,20130913,20130925,20130920,323230Vi79766,29.99,2.4,0.75,33.14,82567838.0,27659,4135,4,132.55,CreditCard,Normal,2013-09-20,True
15842,56151,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56151,10-4030-020676,,13742,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,188,Have CreditCard,1,20130913,20130925,20130920,1023658Vi993,14.98,1.2,0.37,16.55,82567854.55,27659,4352,1,16.55,CreditCard,Normal,2013-09-20,True
15843,56152,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56152,10-4030-018546,,11612,-1,Have No SalesPerson,5,-1,Have No CurrencyRate,21755,Have CreditCard,1,20130913,20130925,20130920,224468Vi85918,29.48,2.36,0.74,32.58,82567887.13,27659,4352,1,32.58,CreditCard,Normal,2013-09-20,True
15844,56153,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56153,10-4030-017033,,7267,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,3014,Have CreditCard,1,20130913,20130925,20130920,624999Vi12931,29.48,2.36,0.74,32.58,82567919.71,27659,4352,1,32.58,CreditCard,Normal,2013-09-20,True
15845,56139,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56139,10-4030-027218,,22092,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,12088,Have CreditCard,1,20130913,20130925,20130920,1121349Vi45018,6.28,0.5,0.16,6.94,82567926.65,27659,4352,1,6.94,CreditCard,Normal,2013-09-20,True
15846,56138,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56138,10-4030-027382,,22256,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,7776,Have CreditCard,1,20130913,20130925,20130920,821280Vi37595,36.27,2.9,0.91,40.08,82567966.73,27659,4352,1,40.08,CreditCard,Normal,2013-09-20,True
15847,56137,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56137,10-4030-011013,,759,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,22479,Have CreditCard,1,20130913,20130925,20130920,1120879Vi90113,38.98,3.12,0.97,43.07,82568009.8,27659,4069,2,125.92,CreditCard,Normal,2013-09-20,True
15848,56136,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56136,10-4030-011081,,1315,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,425,Have CreditCard,1,20130913,20130925,20130920,920835Vi1919,66.97,5.36,1.67,74.0,82568083.8,27659,4352,2,115.21,CreditCard,Normal,2013-09-20,True
15849,56135,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56135,10-4030-011670,,1904,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,7497,Have CreditCard,1,20130913,20130925,20130920,620564Vi36225,62.98,5.04,1.57,69.59,82568153.39,27659,4194,2,110.8,CreditCard,Normal,2013-09-20,True
15850,56134,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56134,10-4030-025305,,18371,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,12079,Have CreditCard,1,20130913,20130925,20130920,919108Vi44977,1725.98,138.08,43.15,1907.21,82570060.6,27659,4352,1,1907.21,CreditCard,Normal,2013-09-20,True
15851,56133,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56133,10-4030-011249,,1483,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,23673,Have CreditCard,1,20130913,20130925,20130920,719094Vi96611,1759.97,140.8,44.0,1944.77,82572005.37,27659,4197,4,10928.76,CreditCard,Normal,2013-09-20,True
15852,56132,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56132,10-4030-015212,,5446,-1,Have No SalesPerson,9,9626,Have CurrencyRate,21576,Have CreditCard,1,20130913,20130925,20130920,418439Vi84817,4.99,0.4,0.12,5.51,82572010.88,27659,4100,2,76.2,CreditCard,Normal,2013-09-20,True
15853,56130,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56130,10-4030-014686,,4920,-1,Have No SalesPerson,9,9626,Have CurrencyRate,18924,Have CreditCard,1,20130913,20130925,20130920,518070Vi80401,59.98,4.8,1.5,66.28,82572077.16,27659,4142,3,224.82,CreditCard,Normal,2013-09-20,True
15854,56129,2013-09-13,2013-09-25,2013-09-20,Shipped,True,Unknown,SO56129,10-4030-015795,,6029,-1,Have No SalesPerson,9,9626,Have CurrencyRate,18956,Have CreditCard,1,20130913,20130925,20130920,117118Vi80569,88.46,7.08,2.21,97.75,82572174.91,27659,4336,2,146.35,CreditCard,Normal,2013-09-20,True
