PRODUCTKEY,PRODUCTID,PRODUCTNAME,FINISHEDGOODSFLAG,COLOR,SAFETYSTOCKLEVEL,REORDERPOINT,STANDARDCOST,LISTPRICE,SIZE,WEIGHT,DAYSTOMANUFACTURE,PRODUCTLINE,CLASS,STYLE,PRODUCTMODIFIEDDATE,SUBCATEPROMODIFIEDDATE,CATEPROMODIFIEDDATE,PRODUCTSUBCATEGORYID,PRODUCTCATEGORYID,CATEGORYNAME,SELLSTARTDATE,SELLENDDATE,DISCONTINUEDDATE,PRICERANKINSUBCATEGORY,PROFITMARGINPCT,TOTALPROINCATE,AVGPRICEBYSUBCATEGORY,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
185,3,BB Ball Bearing,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,31b652dc2b0f109d916041f357f1faf9297fb50c1eb0f48e551a5b1ac0456dee
186,4,Headset Ball Bearings,False,,800,600,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,cb04c3145abda8fc8e441c781af12ed8074ac46c7052cd8117a0c15e157f1b93
187,316,Blade,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0fab763ec7b91925488d3f63ac7f3aa365b71c32261afb023d5b50dd90867889
188,317,LL Crankarm,False,Black,500,375,0,0,,,0,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f55bfa6fd61c23022e8ef769f150f1fc4700ec36cf90f2f227aed61695c62894
189,318,ML Crankarm,False,Black,500,375,0,0,,,0,,M ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,64ada5a02f0f4fe682d041d83b58cf2ed393bb39b776733daac769a86fb74350
190,319,HL Crankarm,False,Black,500,375,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,9f22eda4584222086b191ec5119ace710d723c51fec0ad4e4630ef456810a43a
191,320,Chainring Bolts,False,Silver,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,7aa1aef6427990d97261f2f56ac953c96bfbeeb0fbf976ec2eccf7609d4479d8
192,321,Chainring Nut,False,Silver,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,2ac3c7413fdab7b51e811c6b37d70a46bc2923d63fd49bf4d3139ba35cec6e89
193,322,Chainring,False,Black,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,36c4144145865177a8c921a868d7f4f562c6906288e613fe6d19638781855bf6
194,323,Crown Race,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,413c59cfd01fae0d69aeb3c8a556ab3cac3ce0f062f771b805e7b94406564cb0
195,324,Chain Stays,False,,1000,750,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,da41d87baf1c980e6ea06f33f49fa430eef12b93986f7aeb86ec7737c395f06e
196,374,Thin-Jam Hex Nut 11,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,4346a62c92ae8b53254847b5b8eebc39c7738ddcd269c88a60d70c5397fdc705
197,326,Decal 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,19ec1c3b7cfaa2d56b340e6b7a4faf381353a89f164572645ef1cbc6018f2127
198,327,Down Tube,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,440096fe4841fb706039d1e384bc23cd31f0cf55039233281b4227553902e24f
199,328,Mountain End Caps,False,,1000,750,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d3d3764a51f450ac994f1d8fa8f33f2938b5d84c3e5148f60aaf7f6ab68aa1e1
200,329,Road End Caps,False,,1000,750,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,67c1f878bb039ede0f9edb6edef1462bc7ed24d474dd0a410ad337eff8713466
201,330,Touring End Caps,False,,1000,750,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b1101885c07bb5867657faa4ffe0116ff4ea4cb136776087c2a97a6695db6b08
202,331,Fork End,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b3ad2fc0a3f0a52543a0e5993667eb3f124bb1a7d86c6ba9ee7b5c04d7f159d9
203,332,Freewheel,False,Silver,500,375,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,e9b49280485dae06cfc5bf236ae03b7484d472dbdcb214bbaa167ca92b9316f9
204,341,Flat Washer 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,9c88ec46560ccbdc874dbcc9b52222f34c4e6ccd5c59273ecea9fb3a093989ab
205,342,Flat Washer 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,a29b2f25e4309088115a113bce44abf51d21e37634ed15888861c9d8d01fe89c
206,343,Flat Washer 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,318085e523064068870d8d14616de6b24a232ad5ec890fcd84a21fcf01f13ce6
207,344,Flat Washer 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,9fdf6898c038b337006a11548f8db932365f738f99ae5272e7e303d029b2b8ab
208,345,Flat Washer 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,2aff115372ae17e15bb023436d5d17152b25f07ce6381de20e7d8e313224993c
209,413,Internal Lock Washer 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b1f26028e4002b53ea785558034771d2e9af41753a12500878049fd12716ba1c
210,401,HL Hub,False,,500,375,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,52f6808f5c5f477c68bf388d4587bf88432de17b1287374f945562c99285bebf
211,402,Keyed Washer,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,8dedece96c8acb5f0ac7a0dc4eed434e62268beb242c105f09858ea31eab7c55
212,403,External Lock Washer 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d2bae12b265d3d8ee7851f10ac04665d3abe5d853ba54805d26cc6984edb951d
213,404,External Lock Washer 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,76cae73584c873cf6a41040e9a73f92c76b307e305590c557f42229e00603e8b
214,405,External Lock Washer 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,5daedccd7f20413f4fca1588dc26659347f62ad4500b960ac00cddce43b6822a
215,406,External Lock Washer 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,478c9fa97ad24e716abfac345838050cc16db3c66fa9efde0297f3d18ed70db5
216,407,External Lock Washer 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,cb589acc6d2c8464eb239595a958fd29e975b5a45f91b583df81d425f38dae1e
217,408,External Lock Washer 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,a888596d4639d29ac5e5eae75fb4103b2b3ba4bdee43552cc82d1536aad3a960
218,409,External Lock Washer 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,32c87d641b12679ce3462fb85f63528541992fc75d328dbbe4947718c1a97cc2
219,410,External Lock Washer 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,c2a51e91fee1579acc5da0ee4beec36145d72c110f2e61386f40b99464d3e730
220,411,External Lock Washer 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d63a45142fdf91bd58570252bd47ad565f40755f6f85e20ade58390d02aecbe2
221,412,Internal Lock Washer 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1189edd427f53fd8c16004f30b5403dda799fb6dbf9f9b7c3adbf3f09bbfc276
222,400,LL Hub,False,,500,375,0,0,,,1,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,9c8c8d5ae6b471ae6f9e2aa212245dc18bfdabbeee01baab6f8ff51461588619
223,414,Internal Lock Washer 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f670db939a89789501dad8178bf2a68120e5a7fc4beb931de5324de6b6270b6c
224,415,Internal Lock Washer 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0bc6fa1c2b9e08808a61d6cca410d27a5a8c705b25ebc24af5127b9b8fc0cf5d
225,416,Internal Lock Washer 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,4c681b8a8b47a282d070ae86af646440f514e5ae50d007b1e3ce67a72db356f4
226,417,Internal Lock Washer 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,bfe6fbb014d4cf8a43369b06915ca93c5afc1c60cd7d39d8784def1e18e1645e
227,418,Internal Lock Washer 10,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,867a45b40d4831c905743975bea6beba84762567013f9da0a8efdbe5d7e95599
228,419,Internal Lock Washer 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,340926fa96401a8defe6bb8d79f82f39a86874b18c50a3c9438d571837619dc1
229,420,Internal Lock Washer 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d2b63f6571b8be490264ae731c1e793c779fa99ea19799b860205923a1107647
230,421,Internal Lock Washer 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d43e3fc77258e163cbd73da939854bfc7f998e674b20c86fa68cf64f2e49fd92
231,422,Thin-Jam Lock Nut 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,27a4c4790c48b99f5466bb8fad327a470da5d846b27695819acff9125de567ed
232,423,Thin-Jam Lock Nut 10,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,07672562db8d1d3c7e95a4de5757fd784522b26b60c97804f6acfca5587d757d
233,424,Thin-Jam Lock Nut 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d07885df396774425d972e9e4e021c0c2bb1841bb4f57a895c1d00a2e6d7b02e
234,425,Thin-Jam Lock Nut 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3f626d7e849e1aa1bdc25b8ada4e12916eb6ac20519750c7c4cc673bdd669297
235,387,Hex Nut 10,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,60a63cd9609cd1de98d48ea20195f20b3d9735812da46ef17c91875f573a6197
236,375,Hex Nut 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b5774114859aa42865b19d7e42e540efb299aae9be9f11e1558c988baf879858
237,376,Hex Nut 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,4ca2f5ff2e4f7f35dedc22fd6eabad448420dcd78fb9d639a2f9a69b2598e6c7
238,377,Hex Nut 16,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0bfe312fe985284b835eb5281231445c914a0f6aa0477cf4bbdb62316687e6a9
239,378,Hex Nut 17,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,01e7f16e08a051a3ed2d9b71407c85ed63a139bdaa0c3bc95f17f15fe069aec2
240,379,Hex Nut 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,9782ccf8d69bba8ed6dc2cef8dcc44bce4f4900701537cccdd9a46f8848dc21d
241,380,Hex Nut 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,8b5ccb41b5986b848b9804a456c2ce3ea656d6c2bb94768eef50b1ee6551603d
242,381,Hex Nut 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3f1e9b588da0a5905bd11e610aa282cb95a0aaa94463006f08c94e90e4bff27f
243,382,Hex Nut 22,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,c48089ddf1d8b84b8da7fdf12daec9f455fc32082322bc6ba200f489f9075c80
244,383,Hex Nut 23,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,158f30b7caa22415be497982780da39754bca42437bca12f601e6f2f035bef80
245,384,Hex Nut 12,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,2171b67cd1f0a36e63e7e13a2799fc486335f7f3fda50a9195f4fa883f9bd621
246,385,Hex Nut 13,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,8e8023cc289d499b67749c9ab0bee8f426ea00df379d569e7fd186d8a8bb1a0f
247,386,Hex Nut 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3626d4557f1d36b84fa4a97cf93ee9b374f5419aad9aeb10fd0e01ecd03c4354
248,1,Adjustable Race,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0dcc96e58e9005a29cf97c6f5263065ffdfee1c1969a005b9d900da36b2f5584
249,388,Hex Nut 11,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,cd1b08ad86f5a21c352cc78b544e7fd118354b6777d1bb1ae7535da2ab8f8e81
250,389,Hex Nut 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,ee4c4a9e62cebe5bb456266a30d08996d3a9156537eea0715240c3b445537570
251,390,Hex Nut 20,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,2c4d4cb225202dfcbfb3d547f2f0a7c5be2443265dff651cebb6adb129ecba69
252,391,Hex Nut 21,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3f2f5b9b95d361d2ab8b6556dff212e0fe64daa1416049f31391324c74d3f0d8
253,392,Hex Nut 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3d457327a0c565de2e5569e745748c8b3b4145c41577d276cc2a242d26bc2b7c
254,393,Hex Nut 14,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,68406be1f9135dc05a98d402672fdd3478fead400e5e3824e1afb19ee4856eb4
255,394,Hex Nut 15,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,162920e31928f338eb6a9d42476dbd3bce3da3b90fc37cfdc18347d137621d86
256,395,Hex Nut 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,5da4d86775d008591ee67f425130e5fa39eb1bdb289ffeb684c1a55fc41e472a
301,396,Hex Nut 18,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,2e117d6c44586302717a762f7c07fccce4c523dfcd92b8e79cb529ae0ae91310
302,397,Hex Nut 19,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,ad7d1de0dee3a143bbc772926a876274fe956ddb1a854235012c5aa98a51f4da
303,398,Handlebar Tube,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,67831364e9faf7fc6e2103964bae882c775c55acabc9e75b3d3f768d59daf007
304,399,Head Tube,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b8125886349230622afa9a61739c25969bc07ced38417b5be0ebed65b184d2a3
305,951,HL Crankset,True,Black,500,375,180,405,,575.0,1,,H ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,8.0,2.0,Components,2013-05-30,,,1,125.0,134,279,True,2006-06-23,9999-12-31 00:00:00,5a948ae82eb5b5cf503027b9443389b446f3729874d9de852d816feef587ac47
306,950,ML Crankset,True,Black,500,375,114,256,,635.0,1,,M ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,8.0,2.0,Components,2013-05-30,,,2,125.0,134,279,True,2006-06-23,9999-12-31 00:00:00,c2d6beb685b135aa795683842040afc01fada2db2640fe231ffe4180683ff0dd
307,949,LL Crankset,True,Black,500,375,78,175,,600.0,1,,L ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,8.0,2.0,Components,2013-05-30,,,3,125.0,134,279,True,2006-06-23,9999-12-31 00:00:00,9cd51d20856bd672366937ebf08bac79714ac7aa461c9bc8bcbfd3b3b545d5cb
308,876,Hitch Rack - 4-Bike,True,,4,3,45,120,,,0,S ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,26.0,4.0,Accessories,2013-05-30,,,1,167.0,29,120,True,2006-06-23,9999-12-31 00:00:00,fbe623fc568f026077c0d672d28f3ffd78a3950d7108d334cf8a748779c62fc5
309,707,"Sport-100 Helmet, Red",True,Red,4,3,13,35,,,0,S ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,31.0,4.0,Accessories,2011-05-31,,,1,167.0,29,35,True,2006-06-23,9999-12-31 00:00:00,a3f5690952dfc819f5ea26be13824abe49479480cf9e8e5ea716a08e85a248f1
310,708,"Sport-100 Helmet, Black",True,Black,4,3,13,35,,,0,S ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,31.0,4.0,Accessories,2011-05-31,,,1,167.0,29,35,True,2006-06-23,9999-12-31 00:00:00,463b4a2d15c1847cd0aadb700cfed08a2644dbe00c8f0c0f9a15733b8e63281e
311,711,"Sport-100 Helmet, Blue",True,Blue,4,3,13,35,,,0,S ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,31.0,4.0,Accessories,2011-05-31,,,1,167.0,29,35,True,2006-06-23,9999-12-31 00:00:00,9cb1fb78542d397be2da0fd9bb4497fbbab9cb56402ac9509c64cfebf55877ed
312,878,Fender Set - Mountain,True,,4,3,8,22,,,0,M ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,30.0,4.0,Accessories,2013-05-30,,,1,167.0,29,22,True,2006-06-23,9999-12-31 00:00:00,6c473d2dfe20d21b53eeb652e00d7a9781526b7f4c0ae208edd549baf313e9c0
313,750,"Road-150 Red, 44",True,Red,100,75,2171,3578,44,14.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2011-05-31,2012-05-29,,1,65.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,454ee34a5b596b6db0beb5e54d69056268894ecba7e9b428e3027b8f3fb0b9b0
314,751,"Road-150 Red, 48",True,Red,100,75,2171,3578,48,14.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2011-05-31,2012-05-29,,1,65.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,89df029fecdf3fbdcea6b46143841ee592b8d2db7fafe7ef8432fc5ec36e7298
315,752,"Road-150 Red, 52",True,Red,100,75,2171,3578,52,14.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2011-05-31,2012-05-29,,1,65.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,60cd1e0d588f87a9035f0943bf1a080fe1c815af759f16507345589f92f751b3
316,753,"Road-150 Red, 56",True,Red,100,75,2171,3578,56,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2011-05-31,2012-05-29,,1,65.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,61b4117a837e1938ec96d2262e5f145392747bbb1e5c328b94af7123c8f21384
317,749,"Road-150 Red, 62",True,Red,100,75,2171,3578,62,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2011-05-31,2012-05-29,,1,65.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,51570ad438c26638831db6a97163f82d8d001ebc141fda3e43bcacefe9020045
318,794,"Road-250 Black, 48",True,Black,100,75,1555,2443,48,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2012-05-30,,,2,57.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,83ecbc142a129e647d08dfcac215f4577ede67db591b52d8bf61a40bea95fe06
319,793,"Road-250 Black, 44",True,Black,100,75,1555,2443,44,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2012-05-30,,,2,57.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,0cf2a30eabeb2be4addcdff0e338588f809b3fac7ce914ec33ac55138d6cfb1e
320,792,"Road-250 Red, 58",True,Red,100,75,1555,2443,58,16.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2012-05-30,,,2,57.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,5f9dc2147eafbca7803eb66a23569091d218eb4faa499252aece716a7efadf68
321,791,"Road-250 Red, 52",True,Red,100,75,1519,2443,52,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2012-05-30,2013-05-29,,2,61.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,da0e3f832a7493269914d50855538c9cef83704d9fc1f866668ad03aa7fd1463
322,790,"Road-250 Red, 48",True,Red,100,75,1519,2443,48,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2012-05-30,2013-05-29,,2,61.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,9f5d23d39f8eae7adc2da5127ae9cfc4c968a188c92a1ed7810bfb59720ece41
323,789,"Road-250 Red, 44",True,Red,100,75,1519,2443,44,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2012-05-30,2013-05-29,,2,61.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,53aed81f40c0f86ec2d4fdfab096a6cc5fc8a66d97f6230bbbd7858f475563df
324,795,"Road-250 Black, 52",True,Black,100,75,1555,2443,52,15.0,4,R ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,2.0,1.0,Bikes,2012-05-30,,,2,57.0,97,1597,True,2006-06-23,9999-12-31 00:00:00,f0a699da4ea9740dba5db516c73d5e886d1892d9f31d79e2c2dde3478c845cc6
